-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.025
-183.800, 80.200, 0.000,  0.092
-183.800, 80.199, 0.036,  0.159
-183.800, 80.196, 0.041,  0.226
-183.800, 80.185, 0.244,  0.293
-183.798, 80.157, 0.491,  0.360
-183.796, 80.112, 0.756,  0.427
-183.793, 80.038, 1.265,  0.494
-183.789, 79.933, 1.680,  0.561
-183.783, 79.806, 1.989,  0.628
-183.777, 79.666, 2.151,  0.695
-183.770, 79.523, 2.161,  0.762
-183.762, 79.384, 2.105,  0.829
-183.754, 79.250, 2.014,  0.896
-183.746, 79.124, 1.866,  0.963
-183.739, 79.007, 1.746,  1.030
-183.732, 78.896, 1.658,  1.097
-183.725, 78.789, 1.609,  1.164
-183.717, 78.683, 1.599,  1.231
-183.710, 78.575, 1.626,  1.298
-183.702, 78.464, 1.679,  1.365
-183.693, 78.349, 1.745,  1.432
-183.684, 78.230, 1.805,  1.499
-183.674, 78.108, 1.849,  1.566
-183.663, 77.984, 1.872,  1.633
-183.653, 77.859, 1.877,  1.700
-183.642, 77.735, 1.868,  1.767
-183.632, 77.612, 1.854,  1.834
-183.621, 77.490, 1.840,  1.901
-183.610, 77.368, 1.831,  1.968
-183.598, 77.247, 1.830,  2.035
-183.586, 77.125, 1.837,  2.102
-183.574, 77.003, 1.851,  2.169
-183.562, 76.879, 1.870,  2.236
-183.550, 76.754, 1.890,  2.303
-183.537, 76.628, 1.909,  2.370
-183.524, 76.500, 1.926,  2.437
-183.511, 76.372, 1.939,  2.504
-183.497, 76.243, 1.950,  2.571
-183.483, 76.113, 1.958,  2.638
-183.468, 75.983, 1.965,  2.705
-183.454, 75.853, 1.973,  2.772
-183.439, 75.722, 1.982,  2.839
-183.425, 75.590, 1.993,  2.906
-183.410, 75.458, 2.005,  2.973
-183.394, 75.324, 2.018,  3.040
-183.378, 75.190, 2.032,  3.107
-183.362, 75.055, 2.046,  3.174
-183.346, 74.919, 2.060,  3.241
-183.329, 74.782, 2.073,  3.308
-183.313, 74.644, 2.087,  3.375
-183.296, 74.506, 2.099,  3.442
-183.279, 74.366, 2.112,  3.509
-183.261, 74.226, 2.124,  3.576
-183.243, 74.085, 2.137,  3.643
-183.225, 73.943, 2.150,  3.710
-183.207, 73.800, 2.164,  3.777
-183.189, 73.656, 2.178,  3.844
-183.171, 73.512, 2.192,  3.911
-183.152, 73.366, 2.206,  3.978
-183.133, 73.220, 2.221,  4.045
-183.114, 73.072, 2.235,  4.112
-183.094, 72.924, 2.249,  4.179
-183.075, 72.775, 2.264,  4.246
-183.055, 72.625, 2.278,  4.313
-183.035, 72.473, 2.293,  4.380
-183.015, 72.321, 2.308,  4.447
-182.995, 72.168, 2.323,  4.514
-182.974, 72.014, 2.338,  4.581
-182.954, 71.859, 2.353,  4.648
-182.933, 71.703, 2.368,  4.715
-182.912, 71.546, 2.383,  4.782
-182.891, 71.387, 2.399,  4.849
-182.870, 71.228, 2.414,  4.916
-182.849, 71.068, 2.430,  4.983
-182.827, 70.907, 2.445,  5.050
-182.805, 70.745, 2.461,  5.117
-182.784, 70.581, 2.478,  5.184
-182.762, 70.417, 2.494,  5.251
-182.740, 70.251, 2.510,  5.318
-182.718, 70.085, 2.527,  5.385
-182.696, 69.917, 2.543,  5.452
-182.673, 69.748, 2.560,  5.519
-182.651, 69.578, 2.577,  5.586
-182.629, 69.407, 2.593,  5.653
-182.606, 69.235, 2.610,  5.720
-182.584, 69.062, 2.627,  5.787
-182.561, 68.888, 2.644,  5.854
-182.538, 68.712, 2.662,  5.921
-182.516, 68.535, 2.679,  5.988
-182.493, 68.357, 2.697,  6.055
-182.470, 68.178, 2.715,  6.122
-182.447, 67.998, 2.733,  6.189
-182.424, 67.817, 2.751,  6.256
-182.402, 67.634, 2.769,  6.323
-182.379, 67.450, 2.787,  6.390
-182.356, 67.265, 2.806,  6.457
-182.333, 67.078, 2.824,  6.524
-182.311, 66.891, 2.843,  6.591
-182.288, 66.702, 2.862,  6.658
-182.265, 66.511, 2.881,  6.725
-182.242, 66.320, 2.900,  6.792
-182.220, 66.127, 2.919,  6.859
-182.197, 65.933, 2.938,  6.926
-182.174, 65.738, 2.958,  6.993
-182.152, 65.541, 2.977,  7.060
-182.129, 65.343, 2.997,  7.127
-182.107, 65.143, 3.017,  7.194
-182.085, 64.942, 3.038,  7.261
-182.063, 64.740, 3.058,  7.328
-182.041, 64.537, 3.078,  7.395
-182.019, 64.332, 3.099,  7.462
-181.997, 64.126, 3.119,  7.529
-181.975, 63.918, 3.140,  7.596
-181.954, 63.709, 3.160,  7.663
-181.933, 63.498, 3.181,  7.730
-181.911, 63.286, 3.202,  7.797
-181.891, 63.073, 3.224,  7.864
-181.870, 62.858, 3.245,  7.931
-181.849, 62.642, 3.267,  7.998
-181.829, 62.424, 3.289,  8.065
-181.809, 62.205, 3.311,  8.132
-181.789, 61.984, 3.333,  8.199
-181.769, 61.762, 3.355,  8.266
-181.749, 61.538, 3.377,  8.333
-181.730, 61.313, 3.400,  8.400
-181.711, 61.086, 3.422,  8.467
